Name,Deepdock,XP,Karmadock,Transfoxmol,smiles,,,,,,,,
lig_2733,-98.1165211,-12.106,20.71,,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2cnHc3ncc(-c4ccc(Cl)cc4)cc23)c1F,,,,,,,,
lig_1589,-96.21277158,-9.795,20.66,,O=C(OCCO)c1ccc(NS(=O)(=O)c2cccc(-c3cc(F)ccc3O)c2)cc1O,,,,,,,,
lig_3834,-95.89416463,-11.663,22.18,,CCN(C)S(=O)(=O)N-c1ccc(F)c(C(=O)c2cnHc3ncc(-c4cnc(C5CC5)nc4)cc23)c1F,,,,,,,,
lig_3147,-93.93490675,-9.482,20.09,,CC(=O)OC@H(CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,,,,,,,,
lig_1487,-93.23547454,-9.798,19.99,,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,,,,,,,,
lig_3496,-93.17741943,-9.525,26.17,,COC(=O)C@H1C@@H(O)C@@2(O)c3c(OC)cc(O)cc3OC@@2(c2ccc(OC)cc2)C@@H1c1ccccc1,,,,,,,,
lig_3793,-90.80645978,-10.058,22.33,,O=C(NCCCc1ccccc1)c1cccc(-c2cc(O)c3ncccc3c2)c1,,,,,,,,
lig_1652,-83.29914373,-9.767,23.69,,O=C1c2ccccc2C(=O)c2c1cc(O)c(CO)c2O,,,,,,,,
lig_1087,-81.0710511,-10.038,26.67,,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,,,,,,,,
lig_1743,-76.98934468,-10.183,20.06,,Oc1ccc2c(c1)CCC@H(c1ccccc1)C@@H2c1ccc(OCCNH+2CCCC2)cc1,,,,,,,,
lig_2769,-73.43610439,-9.621,23.22,,CN(CCN@H+1CCC@H(OC(=O)Nc2ccccc2-c2ccccc2)CC1)C(=O)c1ccc(CN@H+2CCC@H(C(N)=O)CC2)cc1,,,,,,,,
lig_831,-70.66813127,-10.559,20.29,,O=C(CC@@H(C(=O)O-)c1cnHc2ccccc12)c1ccccc1,,,,,,,,
lig_3714,-66.64617883,-9.483,22.56,,Cc1cc(-c2ccccc2)cc(C(=O)NNS(=O)(=O)c2cccc(O)c2)c1F,,,,,,,,
lig_955,-62.27905324,-9.945,22.54,,O=C1c2c(O)cccc2Cc2cccc(O)c21,,,,,,,,
lig_410,-56.87824793,-9.604,20.39,,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,,,,,,,,
lig_2468,-55.52532059,-10.147,24.78,,CC@@H(Nc1c/c(=N\S(=O)(=O)N2CCC2)nHc(SCc2cccc(F)c2F)n1)C@@H(O)CO,,,,,,,,
lig_3409,-54.77963661,-9.551,20.87,,CC(C)c1ccc(C(=O)C2CCN(C(=O)c3cc(O)ccc3F)CC2)cc1,,,,,,,,
lig_3932,-52.32545953,-10.007,24.22,,NC(=NH2+)NCCCC@H(NC(=O)c1sccc1NS(=O)(=O)c1cc(-c2ccc(CNH3+)cc2)cc2c1OCC2)C(=O)O-,,,,,,,,
lig_2524,-51.64863926,-10.089,23.88,,O=C(NCCN1CCOCC1)Nc1ccc(C(=O)/C=C/c2cccc(N3CCOCC3)n2)cc1,,,,,,,,
lig_2627,-48.40426749,-10.479,22.01,,COC(=O)C@@H(Cc1ccccc1)NC(=O)C@H(Cc1cnHc2ccccc12)NC(=O)c1ccccc1,,,,,,,,
lig_1107,-46.85564487,-10.637,28.81, ,NC(=NH2+)NCCCC@@H(NC(=O)C(c1ccccc1)c1ccccc1)C(=O)NCc1ccc(O)cc1,,,,,,,,
lig_2015,-45.17891005,-9.529,23.72,,CC(C)(C(=O)O-)c1ccc(C@H(O)CCCN@H+2CCC@H(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,,,,,,,,
